train	
08/31-22h32m10s	
Epoch	LR	Train Loss	Test Loss	
1.000000	0.000098	161.166763	144.687912	
2.000000	0.000090	36.714809	128.714920	
3.000000	0.000079	24.616606	123.140862	
4.000000	0.000065	16.267021	113.981400	
5.000000	0.000050	12.415655	117.504311	
6.000000	0.000035	10.908408	115.196579	
7.000000	0.000021	10.030358	114.812851	
8.000000	0.000010	9.462814	113.683563	
9.000000	0.000003	9.048752	113.204468	
10.000000	0.000000	8.844558	113.068275	
11.000000	0.000099	12.091857	117.887642	
